=> [0] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [106] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [107] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [113] [1.538664431122161E-5, 0.9999904756245926] == [1.0, 0.0]
=> [115] [1.5510379512695405E-5, 0.9999908984832753] == [1.0, 0.0]
=> [116] [1.550488371926395E-5, 0.9999909125397339] == [1.0, 0.0]
=> [117] [1.55083987734006E-5, 0.999990848157816] == [1.0, 0.0]
=> [118] [1.838005249638619E-4, 0.10316654455951363] == [1.0, 0.0]
=> [119] [1.5510565171572566E-5, 0.9999909009470567] == [1.0, 0.0]
=> [120] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [121] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [122] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [123] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [124] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [148] [1.2844376345966246E-5, 0.9999697611914007] == [1.0, 0.0]
=> [149] [9.863508331597881E-6, 0.015595850821000734] == [1.0, 0.0]
=> [150] [3.6741799741446535E-5, 0.049279848479927724] == [1.0, 0.0]
=> [175] [1.4513259748549778E-5, 0.9999884440109432] == [1.0, 0.0]
=> [176] [2.696521873291058E-6, 0.8844136646437541] == [1.0, 0.0]
=> [177] [1.5319404146507676E-5, 0.9999901337633733] == [1.0, 0.0]
=> [178] [1.5495391499864564E-5, 0.9999908966725024] == [1.0, 0.0]
=> [179] [3.5992311592236703E-7, 0.8059220514037112] == [1.0, 0.0]
=> [181] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [182] [1.550486826834563E-5, 0.9999909125042625] == [1.0, 0.0]
=> [183] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [184] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [185] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [197] [1.4774592938582298E-5, 0.999989820974166] == [1.0, 0.0]
=> [198] [1.54094011113326E-5, 0.9999907674776642] == [1.0, 0.0]
=> [199] [1.529513445702735E-5, 0.9999903319432194] == [1.0, 0.0]
=> [200] [1.491166025924251E-5, 0.9999899937805019] == [1.0, 0.0]
=> [201] [1.5504471307603573E-5, 0.9999909119123926] == [1.0, 0.0]
=> [224] [1.5504883190853302E-5, 0.9999909125393531] == [1.0, 0.0]
=> [270] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [271] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [272] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [273] [1.5438333937689563E-5, 0.9999908557714383] == [1.0, 0.0]
=> [274] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [275] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [276] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [277] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [278] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [279] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [286] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [287] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [288] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [289] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [290] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [327] [1.5436710040367396E-4, 0.994731411868147] == [1.0, 0.0]
=> [330] [1.535343549369239E-5, 0.9999900931930892] == [1.0, 0.0]
=> [331] [1.5504878197569738E-5, 0.999990912524227] == [1.0, 0.0]
=> [332] [1.2199398186696353E-5, 0.9999824008232141] == [1.0, 0.0]
=> [333] [1.5504857143466833E-5, 0.9999909124929984] == [1.0, 0.0]
=> [334] [1.5152345040236881E-5, 0.9999905060471705] == [1.0, 0.0]
=> [335] [1.5504883719097418E-5, 0.9999909125397333] == [1.0, 0.0]
=> [375] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [376] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [377] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [378] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [379] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [386] [1.5443582288443558E-5, 0.9999908817164278] == [1.0, 0.0]
=> [387] [6.988822315312504E-8, 0.9976783551053987] == [1.0, 0.0]
=> [388] [1.549899463632043E-5, 0.9999909096473254] == [1.0, 0.0]
=> [389] [1.4765672797401042E-5, 0.999989535437046] == [1.0, 0.0]
=> [391] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [393] [1.5490337865353698E-5, 0.9999902795938216] == [1.0, 0.0]
=> [394] [1.5509976173777584E-5, 0.9999908966963831] == [1.0, 0.0]
=> [396] [1.5508046590728686E-5, 0.9999908977964214] == [1.0, 0.0]
=> [402] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [403] [1.5044852488099725E-5, 0.9999873276162192] == [1.0, 0.0]
=> [404] [1.5110005336160803E-5, 0.9999891973502304] == [1.0, 0.0]
=> [405] [1.5389710290802938E-5, 0.9999889277271046] == [1.0, 0.0]
=> [406] [1.550488306395481E-5, 0.9999909125368253] == [1.0, 0.0]
=> [407] [1.4484514230139744E-5, 0.99998525613067] == [1.0, 0.0]
=> [408] [1.550488073687184E-5, 0.9999909125316367] == [1.0, 0.0]
=> [409] [1.5504796833598622E-5, 0.9999909123092129] == [1.0, 0.0]
=> [410] [1.550488780233117E-5, 0.9999909125064947] == [1.0, 0.0]
=> [411] [1.545226783022935E-5, 0.9999900896564955] == [1.0, 0.0]
=> [413] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [424] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [430] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [431] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [432] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [433] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [434] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [435] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [436] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [437] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [438] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [439] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [440] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [441] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [442] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [443] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [444] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [445] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [446] [1.550488370721803E-5, 0.9999909125397186] == [1.0, 0.0]
=> [447] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [458] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [459] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [460] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [461] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [462] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [463] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [464] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [465] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [466] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [467] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [468] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [469] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [470] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [471] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [472] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [473] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [474] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [480] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [481] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [482] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [483] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [484] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [485] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [491] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [492] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [493] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [494] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [495] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [496] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [502] [1.967600260538438E-5, 0.9999806988758244] == [1.0, 0.0]
=> [503] [1.5489741761798292E-5, 0.9999908527498163] == [1.0, 0.0]
=> [505] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [506] [1.550397588723218E-5, 0.9999909112714389] == [1.0, 0.0]
=> [507] [1.4767450116526248E-5, 0.9999900869998322] == [1.0, 0.0]
=> [508] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [509] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [510] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [511] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [512] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [513] [1.967600260538438E-5, 0.9999806988758244] == [1.0, 0.0]
=> [535] [1.922138308790844E-5, 0.9999813570388458] == [1.0, 0.0]
=> [547] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [548] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [549] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [550] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [551] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [557] [4.5095989054111385E-8, 0.08366658856180648] == [1.0, 0.0]
=> [558] [5.900364837246874E-5, 0.9982435036109252] == [1.0, 0.0]
=> [564] [1.5504447134218058E-5, 0.9999909117726863] == [1.0, 0.0]
=> [565] [1.68223823498459E-5, 0.9999517690791965] == [1.0, 0.0]
=> [566] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [567] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [568] [1.5620304682995023E-5, 0.9999894579028645] == [1.0, 0.0]
=> [569] [1.55017996125717E-5, 0.9999908552760977] == [1.0, 0.0]
=> [580] [1.5492945976580685E-5, 0.999990820871448] == [1.0, 0.0]
=> [584] [1.5291499829872546E-5, 0.9999886994362027] == [1.0, 0.0]
=> [591] [2.1921167644212147E-5, 0.999926173155512] == [1.0, 0.0]
=> [592] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [593] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [594] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [595] [1.5504883718986395E-5, 0.9999909125397335] == [1.0, 0.0]
=> [596] [1.550488371926395E-5, 0.9999909125397339] == [1.0, 0.0]
=> [602] [1.1780347086370879E-4, 0.9829695667815034] == [1.0, 0.0]
=> [613] [7.107588769705853E-6, 0.9995060550500154] == [1.0, 0.0]
=> [619] [3.9089914083412225E-9, 0.4954728362977301] == [1.0, 0.0]
=> [620] [3.933332271000012E-9, 0.039433349670895845] == [1.0, 0.0]
=> [621] [7.183261230281346E-8, 0.4915596026175554] == [1.0, 0.0]
=> [622] [9.206169733488867E-6, 0.9999862086333087] == [1.0, 0.0]
=> [623] [3.078619914553826E-8, 0.7066065232032008] == [1.0, 0.0]
=> [630] [1.553397965947667E-5, 0.9999906622719561] == [1.0, 0.0]
=> [632] [1.5504878734473593E-5, 0.9999909120918751] == [1.0, 0.0]
=> [634] [2.8621374716042425E-5, 0.9987981435098297] == [1.0, 0.0]
=> [636] [1.5504596343862698E-5, 0.999990912117492] == [1.0, 0.0]
=> [637] [1.5505181935715484E-5, 0.9999909118130554] == [1.0, 0.0]
=> [638] [1.9795438933101206E-5, 0.9999392817873524] == [1.0, 0.0]
=> [639] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [640] [1.5504928146836683E-5, 0.9999909090820128] == [1.0, 0.0]
=> [646] [8.083499168920483E-7, 0.20425982609469762] == [1.0, 0.0]
=> [663] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [664] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [665] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [666] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [667] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [670] [1.550489108370634E-5, 0.999990912506821] == [1.0, 0.0]
=> [671] [1.5504883289940707E-5, 0.999990912537764] == [1.0, 0.0]
=> [673] [1.5504863872584096E-5, 0.9999909124790207] == [1.0, 0.0]
=> [674] [1.550305949937769E-5, 0.9999908772672006] == [1.0, 0.0]
=> [675] [1.539838663244808E-5, 0.9999906646375974] == [1.0, 0.0]
=> [676] [1.543984450186331E-5, 0.9999906416438753] == [1.0, 0.0]
=> [677] [1.8944406904863875E-6, 0.9982916700519915] == [1.0, 0.0]
=> [678] [1.5504623993578548E-5, 0.9999909123642177] == [1.0, 0.0]
=> [679] [4.86648022085534E-6, 0.9996080502945858] == [1.0, 0.0]
=> [681] [1.5547657731040943E-5, 0.9999892189443689] == [1.0, 0.0]
=> [682] [1.5130432691690121E-5, 0.9999873870566527] == [1.0, 0.0]
=> [683] [1.550488369123082E-5, 0.9999909125395341] == [1.0, 0.0]
=> [684] [1.547325303569158E-5, 0.9999892474342986] == [1.0, 0.0]
=> [685] [1.5506572923040807E-5, 0.9999908508004567] == [1.0, 0.0]
=> [697] [1.5687525581398187E-5, 0.9999904441359933] == [1.0, 0.0]
=> [698] [1.928213722979244E-5, 0.9999794894491225] == [1.0, 0.0]
=> [699] [1.550488422652485E-5, 0.9999909125382558] == [1.0, 0.0]
=> [700] [1.5573104018840045E-5, 0.999990766088901] == [1.0, 0.0]
=> [701] [1.6839527093304163E-5, 0.9999855230752828] == [1.0, 0.0]
=> [703] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [704] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [705] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [706] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [707] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [715] [1.2392306229236372E-5, 0.9999642267226831] == [1.0, 0.0]
=> [717] [6.982879286543398E-5, 0.11639912064150992] == [1.0, 0.0]
=> [725] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [726] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [727] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [728] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [729] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [735] [7.279432578943812E-7, 0.4490393826645591] == [1.0, 0.0]
=> [736] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [737] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [738] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [739] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [740] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [746] [1.158538933282438E-5, 0.9999802931532165] == [1.0, 0.0]
=> [757] [1.7270171510097576E-6, 0.9880280929936169] == [1.0, 0.0]
=> [769] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [770] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [771] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [772] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [773] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [780] [1.550488372059622E-5, 0.9999909125397299] == [1.0, 0.0]
=> [781] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [782] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [783] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [784] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [785] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [791] [1.5504883728090224E-5, 0.9999909125396826] == [1.0, 0.0]
=> [797] [1.550488078705392E-5, 0.9999909125305906] == [1.0, 0.0]
=> [798] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [799] [1.550488331703015E-5, 0.9999909125394185] == [1.0, 0.0]
=> [800] [1.5504884054051704E-5, 0.999990912537344] == [1.0, 0.0]
=> [801] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [802] [1.550488371826475E-5, 0.9999909125397319] == [1.0, 0.0]
=> [813] [1.5504883905448352E-5, 0.9999909125336336] == [1.0, 0.0]
=> [824] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [847] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [848] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [849] [1.5504792749587715E-5, 0.9999909123711527] == [1.0, 0.0]
=> [850] [1.5504865173820992E-5, 0.99999091250129] == [1.0, 0.0]
=> [851] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [863] [1.550488407120465E-5, 0.9999909125387142] == [1.0, 0.0]
=> [865] [1.550488370960501E-5, 0.9999909125396674] == [1.0, 0.0]
=> [866] [2.1633489075184587E-4, 0.9767228929801126] == [1.0, 0.0]
=> [885] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [886] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [887] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [888] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [889] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [891] [1.5504883717876172E-5, 0.9999909125397322] == [1.0, 0.0]
=> [897] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [898] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [899] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [900] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [901] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [902] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [903] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [904] [1.5503970133667888E-5, 0.9999909114608423] == [1.0, 0.0]
=> [905] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [906] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [907] [1.550488371143688E-5, 0.9999909125397239] == [1.0, 0.0]
=> [913] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [914] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [915] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [916] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [917] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [918] [1.550488371826475E-5, 0.999990912539733] == [1.0, 0.0]
=> [919] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [920] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [921] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [922] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [923] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [924] [1.5504883701111805E-5, 0.9999909125397026] == [1.0, 0.0]
=> [927] [1.2082156876591643E-5, 0.9999610523438964] == [1.0, 0.0]
=> [928] [1.3452211211906207E-5, 0.2599233196330976] == [1.0, 0.0]
=> [929] [5.251146018236952E-6, 0.20579887056390667] == [1.0, 0.0]
=> [935] [1.5504883719097418E-5, 0.9999909125397339] == [1.0, 0.0]
=> [947] [1.550488323176502E-5, 0.9999909125393811] == [1.0, 0.0]
=> [948] [1.550479891321288E-5, 0.9999909123112627] == [1.0, 0.0]
=> [949] [1.550267671612815E-5, 0.9999909100303033] == [1.0, 0.0]
=> [950] [1.5490309757337783E-5, 0.9999908898789085] == [1.0, 0.0]
=> [951] [2.133753892075152E-6, 0.9995999016436942] == [1.0, 0.0]
=> [957] [7.215624743328597E-5, 0.7269628057332992] == [1.0, 0.0]
=> [963] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [964] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [965] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [966] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [967] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [968] [1.5535481297734854E-5, 0.9999908462918996] == [1.0, 0.0]
=> [979] [1.555652976520383E-5, 0.9999899638213032] == [1.0, 0.0]
=> [980] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [981] [1.5504929592680128E-5, 0.9999909119310493] == [1.0, 0.0]
=> [982] [2.167490660814897E-5, 0.995303387211028] == [1.0, 0.0]
=> [983] [1.5504883714267947E-5, 0.9999909125397033] == [1.0, 0.0]
=> [984] [4.890234468768462E-5, 0.8276350515801574] == [1.0, 0.0]
=> [996] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [997] [1.5504883611794362E-5, 0.9999909125394095] == [1.0, 0.0]
=> [998] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [999] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1000] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1019] [1.550568091668314E-5, 0.9999909037007295] == [1.0, 0.0]
=> [1020] [1.5502655043075908E-5, 0.9999909020054565] == [1.0, 0.0]
=> [1021] [1.5586535044465055E-5, 0.9999904215206401] == [1.0, 0.0]
=> [1022] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1023] [1.550468193889376E-5, 0.9999909113151881] == [1.0, 0.0]
=> [1041] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1042] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
=> [1043] [1.550488371926395E-5, 0.999990912539734] == [1.0, 0.0]
